Step,Time step,Time
361,0.0298206,9.18459
362,0.0298206,9.21441
363,0.0298206,9.24423
364,0.0298206,9.27405
365,0.0298206,9.30387
366,0.0298206,9.33369
367,0.0298206,9.36351
368,0.0298206,9.39333
369,0.0298206,9.42315
370,0.0298206,9.45297
371,0.0298206,9.48279
372,0.0298206,9.51262
373,0.0298206,9.54244
374,0.0298206,9.57226
375,0.0298206,9.60208
376,0.0298206,9.6319
377,0.0298206,9.66172
378,0.0298206,9.69154
379,0.0298206,9.72136
380,0.0298206,9.75118
381,0.0298206,9.781
382,0.0298206,9.81082
383,0.0298206,9.84064
384,0.0298206,9.87046
385,0.0298206,9.90028
386,0.0298206,9.9301
387,0.0149103,9.94501
388,0.0149103,9.95992
389,0.0149103,9.97483
390,0.0149103,9.98974
391,0.0149103,10.0047
392,0.0149103,10.0196
393,0.0149103,10.0345
394,0.0149103,10.0494
395,0.0219334,10.0713
396,0.024796,10.0961
397,0.0251701,10.1213
398,0.0309642,10.1522
399,0.0314646,10.1837
400,0.0306335,10.2143
401,0.0278157,10.2422
402,0.0284163,10.2706
403,0.0266835,10.2973
404,0.026056,10.3233
405,0.0258459,10.3492
406,0.0262241,10.3754
407,0.0261621,10.4016
408,0.0264071,10.428
409,0.0264423,10.4544
410,0.02698,10.4814
411,0.0265054,10.5079
412,0.0268137,10.5347
413,0.0264232,10.5611
414,0.0264154,10.5875
415,0.0264581,10.614
416,0.0263009,10.6403
417,0.0263545,10.6667
418,0.0262267,10.6929
419,0.026134,10.719
420,0.0264442,10.7455
421,0.0261436,10.7716
422,0.0263751,10.798
423,0.0261017,10.8241
424,0.0261264,10.8502
425,0.0262872,10.8765
426,0.0261026,10.9026
427,0.026251,10.9288
428,0.0260519,10.9549
429,0.0260155,10.9809
430,0.0262375,11.0071
431,0.0260149,11.0332
432,0.0262285,11.0594
433,0.0259687,11.0854
434,0.0259833,11.1113
435,0.0261486,11.1375
436,0.0259799,11.1635
437,0.0261728,11.1896
438,0.0259301,11.2156
439,0.0259281,11.2415
440,0.0260996,11.2676
441,0.0259275,11.2935
442,0.0261465,11.3197
443,0.0258717,11.3455
444,0.0258934,11.3714
445,0.0260303,11.3975
446,0.0258853,11.4234
447,0.0261008,11.4495
448,0.025823,11.4753
449,0.0258471,11.5011
450,0.0259694,11.5271
451,0.0258308,11.5529
452,0.0260584,11.579
453,0.025762,11.6048
454,0.0258039,11.6306
455,0.0258964,11.6565
456,0.025774,11.6822
457,0.0260029,11.7082
458,0.0257002,11.7339
459,0.0257546,11.7597
460,0.0258238,11.7855
461,0.0257101,11.8112
462,0.0259454,11.8372
463,0.025634,11.8628
464,0.0257078,11.8885
465,0.0257485,11.9143
466,0.0256469,11.9399
467,0.0258848,11.9658
468,0.0255715,11.9914
469,0.0256643,12.017
470,0.0256794,12.0427
471,0.0255877,12.0683
472,0.0258298,12.0941
473,0.0255168,12.1196
474,0.0256316,12.1453
475,0.0256204,12.1709
476,0.0255403,12.1964
477,0.025785,12.2222
478,0.0254773,12.2477
479,0.0256136,12.2733
480,0.0255784,12.2989
481,0.0255096,12.3244
482,0.0257574,12.3501
483,0.0254577,12.3756
484,0.0256155,12.4012
485,0.0255574,12.4268
486,0.0255009,12.4523
487,0.0257509,12.478
488,0.0254624,12.5035
489,0.0256399,12.5291
490,0.0255605,12.5547
491,0.0255165,12.5802
492,0.0257683,12.606
493,0.0254929,12.6315
494,0.025688,12.6572
495,0.0255884,12.6827
496,0.0255572,12.7083
497,0.0258098,12.7341
498,0.0255491,12.7597
499,0.0257588,12.7854
500,0.02564,12.8111
501,0.0256215,12.8367
502,0.025874,12.8626
503,0.0256285,12.8882
504,0.0258501,12.914
505,0.0257125,12.9397
506,0.0257065,12.9655
507,0.0259574,12.9914
508,0.0257273,13.0171
509,0.0259578,13.0431
510,0.0258018,13.0689
511,0.0258078,13.0947
512,0.0260552,13.1208
513,0.02584,13.1466
514,0.0260768,13.1727
515,0.0259025,13.1986
516,0.0259196,13.2245
517,0.0261614,13.2507
518,0.0259602,13.2766
519,0.0262008,13.3028
520,0.0260084,13.3288
521,0.0260353,13.3549
522,0.0262687,13.3811
523,0.0260803,13.4072
524,0.0263226,13.4335
525,0.0261121,13.4596
526,0.0261476,13.4858
527,0.0263696,13.5122
528,0.0261925,13.5384
529,0.0264344,13.5648
530,0.0262061,13.591
531,0.0262485,13.6172
532,0.0264558,13.6437
533,0.0262885,13.67
534,0.0265285,13.6965
535,0.0262828,13.7228
536,0.0263307,13.7491
537,0.02652,13.7757
538,0.0263611,13.802
539,0.0265979,13.8286
540,0.0263358,13.8549
541,0.0263875,13.8813
542,0.0265558,13.9079
543,0.0264045,13.9343
544,0.0266374,13.9609
545,0.0263601,13.9873
546,0.0264145,14.0137
547,0.0265595,14.0403
548,0.0264153,14.0667
549,0.026644,14.0933
550,0.0263537,14.1197
551,0.0264103,14.1461
552,0.0265303,14.1726
553,0.0263935,14.199
554,0.0266183,14.2256
555,0.0263177,14.252
556,0.0263768,14.2783
557,0.0264711,14.3048
558,0.0263422,14.3311
559,0.0265639,14.3577
560,0.0262561,14.384
561,0.026319,14.4103
562,0.0263874,14.4367
563,0.0262672,14.4629
