Step,Time step,Time
430,0.0237664,12.5293
431,0.0237664,12.553
432,0.0237664,12.5768
433,0.0237664,12.6006
434,0.0237664,12.6243
435,0.0237664,12.6481
436,0.0237664,12.6719
437,0.0237664,12.6956
438,0.0237664,12.7194
439,0.0237664,12.7432
440,0.0237664,12.7669
441,0.0237664,12.7907
442,0.0237664,12.8145
443,0.0237664,12.8382
444,0.0237664,12.862
445,0.0237664,12.8858
446,0.0237664,12.9095
447,0.0237664,12.9333
448,0.0237664,12.9571
449,0.0237664,12.9808
450,0.0237664,13.0046
451,0.0237664,13.0284
452,0.0237664,13.0521
453,0.0237664,13.0759
454,0.0237664,13.0997
455,0.0237664,13.1234
456,0.0237664,13.1472
457,0.0237664,13.171
458,0.0237664,13.1947
459,0.0237664,13.2185
460,0.0237664,13.2423
461,0.0237664,13.266
462,0.0237664,13.2898
463,0.0237664,13.3136
464,0.0237664,13.3373
465,0.0237664,13.3611
466,0.0237664,13.3849
467,0.0237664,13.4086
468,0.0237664,13.4324
469,0.0237664,13.4562
470,0.0237664,13.4799
471,0.0237664,13.5037
472,0.0237664,13.5275
473,0.0237664,13.5512
474,0.0237664,13.575
475,0.0237664,13.5988
476,0.0237664,13.6225
477,0.0237664,13.6463
478,0.0237664,13.6701
479,0.0237664,13.6938
480,0.0237664,13.7176
481,0.0237664,13.7414
482,0.0237664,13.7651
483,0.0237664,13.7889
484,0.0237664,13.8127
485,0.0237664,13.8364
486,0.0237664,13.8602
487,0.0237664,13.884
488,0.0237664,13.9077
489,0.0237664,13.9315
490,0.0237664,13.9553
491,0.0237664,13.979
492,0.0237664,14.0028
493,0.0237664,14.0266
494,0.0237664,14.0503
495,0.0237664,14.0741
496,0.0237664,14.0979
497,0.0237664,14.1216
498,0.0237664,14.1454
499,0.0237664,14.1692
500,0.0237664,14.1929
501,0.0237664,14.2167
502,0.0237664,14.2405
503,0.0237664,14.2642
504,0.0237664,14.288
505,0.0237664,14.3118
506,0.0237664,14.3355
507,0.0237664,14.3593
508,0.0237664,14.3831
509,0.0237664,14.4068
510,0.0237664,14.4306
511,0.0237664,14.4544
512,0.0237664,14.4781
513,0.0237664,14.5019
514,0.0237664,14.5257
515,0.0237664,14.5494
516,0.0237664,14.5732
517,0.0237664,14.597
518,0.0237664,14.6207
519,0.0237664,14.6445
520,0.0237664,14.6683
521,0.0237664,14.692
522,0.0237664,14.7158
523,0.0237664,14.7396
524,0.0237664,14.7633
525,0.0237664,14.7871
526,0.0237664,14.8109
527,0.0237664,14.8346
528,0.0237664,14.8584
529,0.0237664,14.8821
530,0.0237664,14.9059
531,0.0237664,14.9297
532,0.0237664,14.9534
533,0.0237664,14.9772
534,0.0237664,15.001
535,0.0237664,15.0247
536,0.0237664,15.0485
537,0.0237664,15.0723
538,0.0237664,15.096
539,0.0237664,15.1198
540,0.0237664,15.1436
541,0.0237664,15.1673
542,0.0237664,15.1911
543,0.0237664,15.2149
544,0.0237664,15.2386
545,0.0237664,15.2624
546,0.0237664,15.2862
547,0.0237664,15.3099
548,0.0237664,15.3337
549,0.0237664,15.3575
550,0.0237664,15.3812
551,0.0237664,15.405
552,0.0237664,15.4288
553,0.0237664,15.4525
554,0.0237664,15.4763
555,0.0237664,15.5001
556,0.0237664,15.5238
557,0.0237664,15.5476
558,0.0237664,15.5714
559,0.0237664,15.5951
560,0.0237664,15.6189
561,0.0237664,15.6427
562,0.0237664,15.6664
563,0.0237664,15.6902
564,0.0237664,15.714
565,0.0237664,15.7377
566,0.0237664,15.7615
567,0.0237664,15.7853
568,0.0237664,15.809
569,0.0237664,15.8328
570,0.0237664,15.8566
571,0.0237664,15.8803
572,0.0237664,15.9041
